"pathway_ID" "n_genes" "all_genes" "pvalue" "padj" "pathway_name"
"path:hsa05322" 27 133 6.84833523820832e-24 2.24625395813233e-21 "Systemic lupus erythematosus"
"path:hsa05330" 14 38 8.9687376546211e-17 1.47087297535786e-14 "Allograft rejection"
"path:hsa05320" 15 53 6.4179940833536e-16 4.48345088611844e-14 "Autoimmune thyroid disease"
"path:hsa04612" 17 77 6.48174032829274e-16 4.48345088611844e-14 "Antigen processing and presentation"
"path:hsa04940" 14 43 6.8345287898147e-16 4.48345088611844e-14 "Type I diabetes mellitus"
"path:hsa05332" 13 41 1.17116844298095e-14 6.40238748829588e-13 "Graft-versus-host disease"
"path:hsa05416" 14 59 9.5156793141385e-14 4.45877545005347e-12 "Viral myocarditis"
"path:hsa05310" 11 31 3.42505666310443e-13 1.40427323187282e-11 "Asthma"
"path:hsa05150" 13 56 1.04274142969396e-12 3.80021321044023e-11 "Staphylococcus aureus infection"
"path:hsa05168" 20 185 2.39169150509924e-12 7.84474813672551e-11 "Herpes simplex infection"
"path:hsa04672" 12 49 4.08764859365182e-12 1.21886248974345e-10 "Intestinal immune network for IgA production"
"path:hsa04145" 17 152 7.25460527658144e-11 1.98292544226559e-09 "Phagosome"
"path:hsa05321" 12 65 1.46179453780834e-10 3.68822006462413e-09 "Inflammatory bowel disease (IBD)"
"path:hsa04514" 16 145 3.39032527959871e-10 7.94304779791698e-09 "Cell adhesion molecules (CAMs)"
"path:hsa05034" 17 180 1.05869680960862e-09 2.31501702367751e-08 "Alcoholism"
"path:hsa04658" 12 92 9.40161393449228e-09 1.9063178747138e-07 "Th1 and Th2 cell differentiation"
"path:hsa05140" 11 74 9.88030605796788e-09 1.9063178747138e-07 "Leishmaniasis"
"path:hsa04659" 12 107 5.32581693374264e-08 9.70482196815326e-07 "Th17 cell differentiation"
"path:hsa05323" 11 90 8.05139354782817e-08 1.38992478088823e-06 "Rheumatoid arthritis"
"path:hsa05145" 12 113 9.85073596837719e-08 1.61552069881386e-06 "Toxoplasmosis"
"path:hsa04640" 11 97 1.76356916749855e-07 2.7545270806644e-06 "Hematopoietic cell lineage"
"path:hsa05203" 15 201 2.60703820210611e-07 3.88685695586729e-06 "Viral carcinogenesis"
"path:hsa05166" 15 255 5.30637255217375e-06 7.56734868309996e-05 "HTLV-I infection"
"path:hsa05164" 12 173 9.55960027419362e-06 0.000130647870413979 "Influenza A"
"path:hsa05152" 12 179 1.35304717066902e-05 0.000177519788791775 "Tuberculosis"
"path:hsa05169" 12 203 4.74511362014261e-05 0.000598614333617991 "Epstein-Barr virus infection"
"path:hsa05202" 8 186 0.00665276800132369 0.0808188112753396 "Transcriptional misregulation in cancer"
"path:hsa04650" 6 133 0.0146104605934278 0.171151109808725 "Natural killer cell mediated cytotoxicity"
"path:hsa05167" 7 186 0.0213981409007313 0.242020352256547 "Kaposi's sarcoma-associated herpesvirus infection"
"path:hsa04740" 12 419 0.0225530869383147 0.24658041719224 "Olfactory transduction"
"path:hsa04218" 6 160 0.0327475703584214 0.346490421856846 "Cellular senescence"
"path:hsa05162" 5 134 0.050450143879672 0.517113974766638 "Measles"
"path:hsa04210" 5 138 0.0559318890175545 0.555929078719936 "Apoptosis"
"path:hsa04630" 5 158 0.0882950330196494 0.851787377366029 "Jak-STAT signaling pathway"
"path:hsa05216" 2 37 0.10576785707935 0.963662697834082 "Thyroid cancer"
"path:hsa05340" 2 37 0.10576785707935 0.963662697834082 "Primary immunodeficiency"
"path:hsa04142" 4 123 0.112804066978928 0.999992809975364 "Lysosome"
"path:hsa00920" 1 9 0.127177230655065 1 "Sulfur metabolism"
"path:hsa03040" 4 134 0.141445865475536 1 "Spliceosome"
"path:hsa02010" 2 45 0.145820860580406 1 "ABC transporters"
"path:hsa03050" 2 45 0.145820860580406 1 "Proteasome"
"path:hsa04915" 4 137 0.149721374809996 1 "Estrogen signaling pathway"
"path:hsa04144" 6 244 0.159289175403011 1 "Endocytosis"
"path:hsa05222" 3 93 0.163045499938305 1 "Small cell lung cancer"
"path:hsa05030" 2 49 0.166868249227895 1 "Cocaine addiction"
"path:hsa05161" 4 144 0.1697295335766 1 "Hepatitis B"
"path:hsa04660" 3 101 0.192907711661079 1 "T cell receptor signaling pathway"
"path:hsa05130" 2 55 0.199310178391892 1 "Pathogenic Escherichia coli infection"
"path:hsa05165" 7 319 0.201606609832411 1 "Human papillomavirus infection"
"path:hsa00603" 1 15 0.20291765660376 1 "Glycosphingolipid biosynthesis - globo and isoglobo series"
"path:hsa04625" 3 104 0.204446146263801 1 "C-type lectin receptor signaling pathway"
"path:hsa04928" 3 106 0.212226946430721 1 "Parathyroid hormone synthesis, secretion and action"
"path:hsa04217" 4 164 0.231407959687724 1 "Necroptosis"
"path:hsa04141" 4 165 0.234634866290474 1 "Protein processing in endoplasmic reticulum"
"path:hsa04670" 3 112 0.235936920260052 1 "Leukocyte transendothelial migration"
"path:hsa00511" 1 18 0.238307545912602 1 "Other glycan degradation"
"path:hsa04927" 2 63 0.243554765535481 1 "Cortisol synthesis and secretion"
"path:hsa00531" 1 19 0.24975458929247 1 "Glycosaminoglycan degradation"
"path:hsa05223" 2 66 0.26028431085155 1 "Non-small cell lung cancer"
"path:hsa04722" 3 119 0.264152675791431 1 "Neurotrophin signaling pathway"
"path:hsa04014" 5 232 0.26803364300263 1 "Ras signaling pathway"
"path:hsa05031" 2 68 0.27144804776954 1 "Amphetamine addiction"
"path:hsa04920" 2 69 0.277029249054818 1 "Adipocytokine signaling pathway"
"path:hsa04918" 2 74 0.304880918831364 1 "Thyroid hormone synthesis"
"path:hsa04728" 3 131 0.313352701820388 1 "Dopaminergic synapse"
"path:hsa05133" 2 76 0.315975611105417 1 "Pertussis"
"path:hsa05220" 2 76 0.315975611105417 1 "Chronic myeloid leukemia"
"path:hsa00790" 1 26 0.32524817081577 1 "Folate biosynthesis"
"path:hsa03018" 2 79 0.332543035221629 1 "RNA degradation"
"path:hsa04610" 2 79 0.332543035221629 1 "Complement and coagulation cascades"
"path:hsa00062" 1 27 0.335399628262158 1 "Fatty acid elongation"
"path:hsa00601" 1 27 0.335399628262158 1 "Glycosphingolipid biosynthesis - lacto and neolacto series"
"path:hsa04510" 4 199 0.3489022815439 1 "Focal adhesion"
"path:hsa04742" 2 83 0.354455574803087 1 "Taste transduction"
"path:hsa05205" 4 201 0.355763418916926 1 "Proteoglycans in cancer"
"path:hsa04911" 2 85 0.365320927918227 1 "Insulin secretion"
"path:hsa04072" 3 146 0.375128230231155 1 "Phospholipase D signaling pathway"
"path:hsa04540" 2 88 0.3814884883792 1 "Gap junction"
"path:hsa03020" 1 32 0.383930607226238 1 "RNA polymerase"
"path:hsa04211" 2 89 0.386840144858916 1 "Longevity regulating pathway"
"path:hsa05226" 3 149 0.387396018364142 1 "Gastric cancer"
"path:hsa03410" 1 33 0.393206747025192 1 "Base excision repair"
"path:hsa04215" 1 33 0.393206747025192 1 "Apoptosis - multiple species"
"path:hsa04934" 3 154 0.407716417502808 1 "Cushing's syndrome"
"path:hsa05020" 1 35 0.411345780781253 1 "Prion diseases"
"path:hsa05143" 1 35 0.411345780781253 1 "African trypanosomiasis"
"path:hsa04064" 2 95 0.418513007897158 1 "NF-kappa B signaling pathway"
"path:hsa00350" 1 36 0.420212739436875 1 "Tyrosine metabolism"
"path:hsa04925" 2 96 0.423713803460245 1 "Aldosterone synthesis and secretion"
"path:hsa05146" 2 96 0.423713803460245 1 "Amoebiasis"
"path:hsa04151" 6 352 0.434013777377149 1 "PI3K-Akt signaling pathway"
"path:hsa04070" 2 99 0.439172507263862 1 "Phosphatidylinositol signaling system"
"path:hsa04975" 1 41 0.46260059830491 1 "Fat digestion and absorption"
"path:hsa05225" 3 168 0.46344693639474 1 "Hepatocellular carcinoma"
"path:hsa04668" 2 108 0.484159958242764 1 "TNF signaling pathway"
"path:hsa04962" 1 44 0.486543738473684 1 "Vasopressin-regulated water reabsorption"
"path:hsa04725" 2 112 0.503439030605871 1 "Cholinergic synapse"
"path:hsa00600" 1 47 0.509429307288343 1 "Sphingolipid metabolism"
"path:hsa01212" 1 48 0.516830876799148 1 "Fatty acid metabolism"
"path:hsa04330" 1 48 0.516830876799148 1 "Notch signaling pathway"
"path:hsa04919" 2 116 0.522254166506734 1 "Thyroid hormone signaling pathway"
"path:hsa05144" 1 49 0.524121764873549 1 "Malaria"
"path:hsa05014" 1 51 0.538378033753478 1 "Amyotrophic lateral sclerosis (ALS)"
"path:hsa04611" 2 123 0.554029128027131 1 "Platelet activation"
"path:hsa04114" 2 124 0.558446582512121 1 "Oocyte meiosis"
"path:hsa05134" 1 55 0.565632972225637 1 "Legionellosis"
"path:hsa04140" 2 128 0.575808025175458 1 "Autophagy - animal"
"path:hsa04380" 2 128 0.575808025175458 1 "Osteoclast differentiation"
"path:hsa05213" 1 58 0.585021949759049 1 "Endometrial cancer"
"path:hsa00310" 1 59 0.591292377689453 1 "Lysine degradation"
"path:hsa04068" 2 132 0.592673274187751 1 "FoxO signaling pathway"
"path:hsa04730" 1 60 0.597468898598435 1 "Long-term depression"
"path:hsa00561" 1 61 0.603552906258507 1 "Glycerolipid metabolism"
"path:hsa04213" 1 62 0.609545773942738 1 "Longevity regulating pathway - multiple species"
"path:hsa04371" 2 137 0.61305420006036 1 "Apelin signaling pathway"
"path:hsa05217" 1 63 0.6154488547235 1 "Basal cell carcinoma"
"path:hsa04924" 1 65 0.626990968623026 1 "Renin secretion"
"path:hsa00970" 1 66 0.632632609511818 1 "Aminoacyl-tRNA biosynthesis"
"path:hsa05221" 1 66 0.632632609511818 1 "Acute myeloid leukemia"
"path:hsa04720" 1 67 0.638189679605057 1 "Long-term potentiation"
"path:hsa04261" 2 144 0.640281243696869 1 "Adrenergic signaling in cardiomyocytes"
"path:hsa04115" 1 68 0.643663435304095 1 "p53 signaling pathway"
"path:hsa04664" 1 68 0.643663435304095 1 "Fc epsilon RI signaling pathway"
"path:hsa05120" 1 68 0.643663435304095 1 "Epithelial cell signaling in Helicobacter pylori infection"
"path:hsa05211" 1 69 0.649055114513643 1 "Renal cell carcinoma"
"path:hsa04010" 4 295 0.651329688728854 1 "MAPK signaling pathway"
"path:hsa05224" 2 147 0.651486260780012 1 "Breast cancer"
"path:hsa04622" 1 70 0.654365936911596 1 "RIG-I-like receptor signaling pathway"
"path:hsa04917" 1 70 0.654365936911596 1 "Prolactin signaling pathway"
"path:hsa05214" 1 71 0.659597104214952 1 "Glioma"
"path:hsa05206" 4 299 0.661827917511638 1 "MicroRNAs in cancer"
"path:hsa03320" 1 72 0.664749800441891 1 "PPAR signaling pathway"
"path:hsa04520" 1 72 0.664749800441891 1 "Adherens junction"
"path:hsa05218" 1 72 0.664749800441891 1 "Melanoma"
"path:hsa00562" 1 73 0.669825192170062 1 "Inositol phosphate metabolism"
"path:hsa01524" 1 73 0.669825192170062 1 "Platinum drug resistance"
"path:hsa05100" 1 74 0.67482442879114 1 "Bacterial invasion of epithelial cells"
