"ensembl_gene_id" "entrezgene" "external_gene_name"
"ENSBTAG00000000039" 505662 "SIRT7"
"ENSBTAG00000000040" 515219 "MAFG"
"ENSBTAG00000000042" 539606 "PYCR1"
"ENSBTAG00000000044" 617922 "MYADML2"
"ENSBTAG00000001521" 616871 "UQCRB"
"ENSBTAG00000001522" 526138 "MTERF3"
"ENSBTAG00000001868" 510274 "PCYT2"
"ENSBTAG00000002089" NA ""
"ENSBTAG00000003436" 517903 "RHBDF2"
"ENSBTAG00000003532" 508893 "TLE4"
"ENSBTAG00000004632" NA ""
"ENSBTAG00000007591" 281073 "CHUK"
"ENSBTAG00000007594" 506212 "CWF19L1"
"ENSBTAG00000007914" NA ""
"ENSBTAG00000008747" 526937 "DCXR"
"ENSBTAG00000009637" 286845 "SLC12A2"
"ENSBTAG00000010739" 519172 "BLOC1S2"
"ENSBTAG00000010742" 521231 "PKD2L1"
"ENSBTAG00000011575" NA "RFNG"
"ENSBTAG00000013334" 511511 "CSF3R"
"ENSBTAG00000013898" 280880 "NPB"
"ENSBTAG00000015176" NA ""
"ENSBTAG00000015178" 505355 "ECI2"
"ENSBTAG00000015980" 281152 "FASN"
"ENSBTAG00000016252" 538005 "LSM12"
"ENSBTAG00000016253" 369023 "G6PC3"
"ENSBTAG00000019317" 525572 "GPS1"
"ENSBTAG00000019321" NA "CCDC57"
"ENSBTAG00000019343" 286808 "MDFI"
"ENSBTAG00000021566" 100297382 "PAX2"
"ENSBTAG00000022927" 619066 "RAC3"
"ENSBTAG00000027715" NA ""
"ENSBTAG00000032829" 404143 "GHITM"
"ENSBTAG00000033502" 519985 "TMEM225"
"ENSBTAG00000039738" 104564307 "TMIGD3"
"ENSBTAG00000039964" 781828 ""
"ENSBTAG00000040239" 781509 ""
"ENSBTAG00000043222" NA "SNORA12"
"ENSBTAG00000044643" 100313156 "bta-mir-2346"
"ENSBTAG00000045728" NA ""
"ENSBTAG00000046173" 100125314 "ALG12"
"ENSBTAG00000047043" 782391 "DCXR"
"ENSBTAG00000047760" 617998 "DUS1L"
"ENSBTAG00000047801" 515222 "CRELD2"
"ENSBTAG00000047957" NA ""
"ENSBTAG00000047973" NA ""
"ENSBTAG00000048175" NA ""
