ensembl_gene_id	FC	pvalue
ENSSSCG00000000042	3.3779108	0.000712043
ENSSSCG00000011956	-1.00335002	0.093817937
ENSSSCG00000027351	-1.90736265	0.012180974
ENSSSCG00000026626	1.360528698	0.083137308
ENSSSCG00000011621	2.824720966	0.000442323
ENSSSCG00000000042	3.3779108	0.000712043
ENSSSCG00000004570	1.315811798	0.035136618
ENSSSCG00000017990	-1.783654267	0.013617276
ENSSSCG00000010876	1.474464366	0.019280628
ENSSSCG00000008443	2.055563482	2.73E-05
ENSSSCG00000003718	-1.533096167	0.019792457
ENSSSCG00000009222	-1.441842512	0.033349503
ENSSSCG00000025831	-2.552371485	0.000116456
ENSSSCG00000012853	1.987540983	0.006330964
ENSSSCG00000011630	15.7201549	4.90E-06
ENSSSCG00000012322	1.233640139	0.016676434
ENSSSCG00000010292	1.591252442	0.000369708
ENSSSCG00000025028	1.649150337	0.011080551
ENSSSCG00000029413	-1.403116439	0.036435266
ENSSSCG00000010433	-1.325294719	0.03300006
ENSSSCG00000001457	-1.341050131	0.037211152
ENSSSCG00000015801	1.430093787	0.036603645
ENSSSCG00000014369	24.64989321	0.001524712
ENSSSCG00000006796	16.89883702	5.81E-05
ENSSSCG00000005840	-2.284599062	0.020350484
ENSSSCG00000016052	2.160697578	0.000294017
ENSSSCG00000023666	1.912301635	0.006852536
ENSSSCG00000016929	-2.722177618	0.000714226
ENSSSCG00000002041	1.970424084	0.055236788
ENSSSCG00000009429	-4.809050818	0.007651745
ENSSSCG00000013524	1.273649367	0.01675628
ENSSSCG00000013581	1.484271466	0.01675628
ENSSSCG00000029179	-2.237306245	0.00023878
ENSSSCG00000009063	-1.412435776	0.033722238
ENSSSCG00000005590	-1.254600142	0.015990034
ENSSSCG00000001543	-1.421193726	0.000302718
ENSSSCG00000011272	-1.242888733	0.028404955
ENSSSCG00000025507	-1.506859257	6.83E-05
ENSSSCG00000000374	-1.55283696	0.000528961
ENSSSCG00000004570	1.829900523	0.032604031
ENSSSCG00000027072	-1.261362928	0.008653109
ENSSSCG00000030125	1.766373404	0.007322539
ENSSSCG00000005311	-1.778203971	0.017439092
ENSSSCG00000003090	1.886166964	0.001437887
ENSSSCG00000008207	-1.234569471	0.04860755
ENSSSCG00000005169	-1.673116788	4.79E-05
ENSSSCG00000004945	-1.409432984	0.001131222
ENSSSCG00000005055	-2.272663344	0.009755024
ENSSSCG00000023562	-1.651943175	0.000113658
ENSSSCG00000028322	3.030197252	0.000434219
ENSSSCG00000005264	1.603862186	0.003489558
ENSSSCG00000015034	1.223051013	0.017923149
ENSSSCG00000029371	-1.448239145	0.077350867
ENSSSCG00000012014	1.628098487	0.061362162
ENSSSCG00000005284	2.181390907	0.016624008
ENSSSCG00000008638	-1.399018038	0.001990197
ENSSSCG00000006887	-2.651812732	4.19E-05
ENSSSCG00000022101	-1.749503729	0.039746696
ENSSSCG00000007527	-6.794647383	0.000316352
ENSSSCG00000001036	1.693278757	0.005228733
ENSSSCG00000004383	1.35330902	0.037007808
ENSSSCG00000028377	-1.699071592	0.000158248
ENSSSCG00000014235	-1.678794677	0.057980186
ENSSSCG00000028005	1.342463219	0.01446618
ENSSSCG00000012841	1.796305334	0.003277321
ENSSSCG00000007153	-1.144628011	0.07898256
ENSSSCG00000000914	1.613036133	0.018442902
ENSSSCG00000005679	1.282731656	0.028799058
ENSSSCG00000003190	-1.841760895	0.095579462
ENSSSCG00000027331	-1.560362323	0.041056933
ENSSSCG00000008153	2.9187657	0.001286279
ENSSSCG00000015599	1.38159016	0.001547862
ENSSSCG00000017155	-1.262622201	0.021476048
ENSSSCG00000011803	-1.245543528	0.086131307
ENSSSCG00000017957	-1.375518677	0.021598796
ENSSSCG00000005970	3.523347627	0.000714226
ENSSSCG00000001718	1.432068991	0.095579462
ENSSSCG00000005383	1.943383265	0.000730688
ENSSSCG00000005045	1.885317337	0.005035894
ENSSSCG00000013389	-1.623401823	0.004519743
ENSSSCG00000001419	-3.91775533	0.000504489
ENSSSCG00000001421	-4.82154421	0.000110243
ENSSSCG00000001418	1.77525004	5.99E-05
ENSSSCG00000001420	-1.779505971	0.000137041
ENSSSCG00000024914	3.324364025	0.012164978
ENSSSCG00000016636	1.357354992	0.071765347
ENSSSCG00000018005	28.95213685	0.000197164
ENSSSCG00000005610	-1.62322931	0.066108402
ENSSSCG00000006175	5.022645597	0.003230276
ENSSSCG00000014173	3.033292418	0.004448093
ENSSSCG00000025964	1.346392854	0.011010111
ENSSSCG00000003549	1.335306477	0.037392921
ENSSSCG00000018033	1.198149812	0.026500803
ENSSSCG00000022901	1.33928645	0.060989493
ENSSSCG00000013663	2.799688874	0.009366326
ENSSSCG00000016983	6.47878266	9.58E-05
ENSSSCG00000007485	-2.213998531	0.083516031
ENSSSCG00000010992	2.847675341	0.014022254
ENSSSCG00000001651	1.801529999	0.000205701
ENSSSCG00000007495	7.031572034	0.000991037
ENSSSCG00000015244	1.420554393	0.049284561
ENSSSCG00000004672	-2.246320953	0.002426559
ENSSSCG00000006496	1.282974209	0.068222572
ENSSSCG00000000194	5.596616011	0.000129992
ENSSSCG00000014047	-3.41933438	0.005212549
ENSSSCG00000006369	1.427927464	0.004301444
ENSSSCG00000017212	-1.648030971	1.21E-05
ENSSSCG00000006218	1.975167578	5.73E-05
ENSSSCG00000030016	-1.920656563	0.010178293
ENSSSCG00000021408	1.265044948	0.045470365
ENSSSCG00000014880	-1.885908286	0.022610101
ENSSSCG00000004597	10.12968934	0.000175715
ENSSSCG00000000597	-4.664598984	0.009162545
ENSSSCG00000003531	-1.150704534	0.056047875
ENSSSCG00000006769	2.975110897	0.00443208
ENSSSCG00000001989	4.321476872	0.00104967
ENSSSCG00000011557	1.649129556	0.090474243
ENSSSCG00000026872	2.309757056	0.007428355
ENSSSCG00000000799	1.601090955	0.034776348
ENSSSCG00000013595	2.751386912	0.002721605
ENSSSCG00000024644	78.94460509	0.000791047
ENSSSCG00000012825	1.461246083	0.009121958
ENSSSCG00000023057	-2.606642869	0.000378399
ENSSSCG00000029656	-7.95371093	0.005493611
ENSSSCG00000014564	1.95035273	0.014157068
ENSSSCG00000003413	1.320270335	0.007939006
ENSSSCG00000003341	1.880258849	0.002191783
ENSSSCG00000027030	-1.961477777	0.080171429
ENSSSCG00000002989	1.160495191	0.066045486
ENSSSCG00000016113	1.388789342	0.009200646
ENSSSCG00000006588	44.02397034	0.00012709
ENSSSCG00000001000	1.421361156	0.00449208
ENSSSCG00000001654	-1.500079278	0.000751936
ENSSSCG00000007477	1.99989031	0.001941845
ENSSSCG00000007521	-1.419056658	0.003441569
ENSSSCG00000007498	-2.631776795	0.017665904
ENSSSCG00000007492	1.543514711	0.004835215
ENSSSCG00000001453	-1.337127534	0.001590023
ENSSSCG00000001469	-1.209640764	0.062327873
ENSSSCG00000000193	1.78662802	0.096866335
ENSSSCG00000006194	2.98296304	0.002273882
ENSSSCG00000009245	-2.245396894	0.007483777
ENSSSCG00000004588	-7.715766174	0.000339507
ENSSSCG00000024168	-1.387411138	0.004922248
ENSSSCG00000006899	-1.524885936	0.000353234
ENSSSCG00000017948	-3.065302384	0.000318935
ENSSSCG00000011447	2.006160616	0.000932423
ENSSSCG00000001409	-1.332878182	0.005457876
ENSSSCG00000003905	-3.026837586	0.000312769
ENSSSCG00000001471	1.200261548	0.045290991
ENSSSCG00000004766	-3.611991507	0.001321672
ENSSSCG00000009671	-8.83046621	0.000406928
ENSSSCG00000016738	-1.279733481	0.003698895
ENSSSCG00000028460	-2.506330534	0.011701467
ENSSSCG00000007522	1.649580848	0.021084174
ENSSSCG00000007484	-1.213030853	0.040784711
ENSSSCG00000007473	-1.36288354	0.001766013
ENSSSCG00000007472	2.504246497	0.01667948
ENSSSCG00000001927	1.893904645	9.61E-06
ENSSSCG00000013513	21.42181781	2.37E-05
ENSSSCG00000004039	5.078667174	0.000589953
ENSSSCG00000005318	1.555871155	5.64E-05
ENSSSCG00000000084	1.621450212	0.042932149
ENSSSCG00000012931	-1.385899953	0.004804362
ENSSSCG00000013252	-2.525609944	0.041560377
ENSSSCG00000014080	1.547905517	0.050186102
ENSSSCG00000004550	1.148551064	0.083233639
ENSSSCG00000001347	1.287918833	0.062261696
ENSSSCG00000001362	-1.244598539	0.023989772
ENSSSCG00000023639	-3.026494398	0.000328341
ENSSSCG00000001234	-2.809336861	0.024574405
ENSSSCG00000001382	2.063429634	0.005759356
ENSSSCG00000029425	-1.210076119	0.036948405
ENSSSCG00000024604	-1.44169578	0.021565745
ENSSSCG00000002383	7.50102578	0.000200513
ENSSSCG00000025092	-1.395106756	0.001045489
ENSSSCG00000000714	-2.116219924	0.009052746
ENSSSCG00000009807	1.812088874	0.002710716
ENSSSCG00000006530	2.257709357	0.03437143
ENSSSCG00000008359	1.871737897	0.003430472
ENSSSCG00000003663	-1.7250714	0.057771368
ENSSSCG00000024312	-2.240875012	3.98E-05
ENSSSCG00000007739	-1.359317632	0.049842849
ENSSSCG00000001440	1.251479289	0.074013655
ENSSSCG00000007508	2.329031545	0.001325767
ENSSSCG00000007499	-4.581356659	1.21E-05
ENSSSCG00000006717	-2.071440709	0.017829683
ENSSSCG00000007517	-1.508524744	0.002435409
ENSSSCG00000007487	-1.380611544	0.031597226
ENSSSCG00000001439	-1.426058245	0.044523924
ENSSSCG00000007514	-1.300821739	0.058363143
ENSSSCG00000007488	3.583351801	0.000502387
ENSSSCG00000010687	-1.658783676	0.003115344
ENSSSCG00000003652	-1.305729039	0.004128193
ENSSSCG00000015999	1.498471345	0.010561911
ENSSSCG00000020823	-1.216161395	0.048114007
ENSSSCG00000001682	-2.953588248	0.093897621
ENSSSCG00000027982	2.953188041	0.047106996
ENSSSCG00000016554	-2.855043764	0.026671269
ENSSSCG00000011317	2.332970752	0.002769688
ENSSSCG00000001342	1.394432738	0.003486275
ENSSSCG00000005006	1.825135203	0.001578314
ENSSSCG00000006873	1.741569772	0.000473325
ENSSSCG00000029594	2.0419383	0.000193479
ENSSSCG00000009912	-1.531902939	0.027141173
ENSSSCG00000000061	-2.595503302	0.002630379
ENSSSCG00000001506	-1.639007202	0.000103354
ENSSSCG00000007515	-197.2104581	0.01327807
ENSSSCG00000006323	1.71304859	0.000349009
ENSSSCG00000001533	1.154659984	0.09281963
ENSSSCG00000004826	2.711676769	0.002655414
ENSSSCG00000006237	2.693775656	0.001043709
ENSSSCG00000000559	4.917915743	0.000551798
ENSSSCG00000007265	-1.917236637	0.050128208
ENSSSCG00000010179	1.411969753	0.039712295
ENSSSCG00000006838	1.260866217	0.046646198
ENSSSCG00000010653	-1.753870598	0.040702639
ENSSSCG00000010122	-1.848456928	7.48E-05
ENSSSCG00000010625	-1.300236895	0.001502605
ENSSSCG00000006529	2.455325885	0.000943111
ENSSSCG00000001697	-2.56775838	0.000197047
ENSSSCG00000000366	-1.218700526	0.037633673
ENSSSCG00000010137	-1.365927173	0.013732904
ENSSSCG00000021196	-1.377140537	0.033349503
ENSSSCG00000002455	1.631584098	0.000419876
ENSSSCG00000000394	1.525323578	0.011876408
ENSSSCG00000006924	2.020895405	0.000356636
ENSSSCG00000010267	-2.269537989	0.001766013
ENSSSCG00000010550	-1.193579281	0.097599075
ENSSSCG00000027206	1.405924096	0.04107728
ENSSSCG00000011901	2.724097428	3.92E-05
ENSSSCG00000010531	1.406805412	0.012204318
ENSSSCG00000010495	1.451414061	0.008211781
ENSSSCG00000011456	4.048360996	0.000388387
ENSSSCG00000011368	-2.087856147	0.004320922
ENSSSCG00000001821	-1.212692892	0.038221251
ENSSSCG00000005314	-2.318464626	0.0015033
ENSSSCG00000009742	1.437622263	0.039255439
ENSSSCG00000006193	2.223071801	0.002080268
ENSSSCG00000004191	-1.473134275	0.081118667
ENSSSCG00000016034	-1.890627577	0.007097472
ENSSSCG00000004745	1.132105872	0.078938969
ENSSSCG00000001078	1.578754571	0.063687131
ENSSSCG00000009480	1.626451693	0.000107333
ENSSSCG00000004603	1.185567016	0.059012657
ENSSSCG00000000137	-2.375275348	0.000558564
ENSSSCG00000021601	-2.388560663	0.000786355
ENSSSCG00000012066	9.581958642	1.68E-05
ENSSSCG00000012007	2.909519153	0.000631022
ENSSSCG00000000736	2.082938859	0.008389842
ENSSSCG00000026173	-1.559409657	0.021542868
ENSSSCG00000009827	-1.585166451	0.059670612
ENSSSCG00000010468	2.05717252	0.035133853
ENSSSCG00000011806	2.190157943	0.003698791
ENSSSCG00000010791	-1.340035117	0.060394417
ENSSSCG00000004192	13.16077235	2.53E-05
ENSSSCG00000006682	1.589160649	0.002139773
ENSSSCG00000005016	-1.530461236	0.006183071
ENSSSCG00000015938	-1.279575495	0.0097236
ENSSSCG00000010402	-1.604738971	0.035020281
ENSSSCG00000006177	1.576930585	0.000302718
ENSSSCG00000015772	1.350885249	0.009865755
ENSSSCG00000004160	-1.481824874	0.003403593
ENSSSCG00000009931	2.337188038	0.003345141
ENSSSCG00000009909	1.18767251	0.030117157
ENSSSCG00000004156	1.555733414	0.035691124
ENSSSCG00000012151	-3.852509717	0.008653109
ENSSSCG00000022099	2.924656053	0.001732327
ENSSSCG00000011592	-1.744034365	0.001646781
ENSSSCG00000012171	1.555462862	0.084735296
ENSSSCG00000004803	13.66852386	1.21E-05
ENSSSCG00000007211	-1.466840624	0.08609374
ENSSSCG00000010632	3.724627529	0.0012044
ENSSSCG00000006535	1.377232981	0.05022566
ENSSSCG00000004049	2.19293635	0.000383129
ENSSSCG00000004382	1.718435576	0.000665475
ENSSSCG00000015874	-1.549557414	0.003781547
ENSSSCG00000004651	1.2552672	0.030190094
ENSSSCG00000010648	2.207843199	0.001074477
ENSSSCG00000005666	1.674456247	0.000280332
ENSSSCG00000007043	1.595750609	0.017213805
ENSSSCG00000022295	2.24149104	0.003597951
ENSSSCG00000006571	1.259861241	0.020248559
ENSSSCG00000004657	-1.879697587	0.003553069
ENSSSCG00000000810	2.286067681	4.45E-05
ENSSSCG00000004285	-7.785895777	0.005799167
ENSSSCG00000002375	-1.916454765	0.034511891
ENSSSCG00000011731	-1.556489766	0.004380144
ENSSSCG00000006307	-1.68954322	0.000681058
ENSSSCG00000006308	2.423720279	0.000305412
ENSSSCG00000001392	-4.67827704	0.000183758
ENSSSCG00000029482	1.848192372	0.001356418
ENSSSCG00000009361	-2.159179898	0.01892203
ENSSSCG00000010160	-1.300145609	0.028323631
ENSSSCG00000005995	-2.856536096	0.006317556
ENSSSCG00000016018	-2.824308097	0.000860384
ENSSSCG00000012006	3.887752711	0.00142901
ENSSSCG00000002440	-1.616923806	0.008410801
ENSSSCG00000004167	-12.2881364	0.000213941
ENSSSCG00000010006	-3.070938781	0.002794844
ENSSSCG00000006362	-1.298981794	0.024335069
ENSSSCG00000009623	1.868766347	0.000104544
ENSSSCG00000007356	-1.529480195	0.00199034
ENSSSCG00000002362	2.122917918	0.001915638
ENSSSCG00000002307	-1.324058591	0.010802796
ENSSSCG00000006051	3.370864127	0.017163951
ENSSSCG00000009781	1.234164965	0.0895504
ENSSSCG00000010674	1.239459941	0.069013451
ENSSSCG00000002620	1.643013757	0.04158665
ENSSSCG00000010684	-1.681773613	0.094020958
ENSSSCG00000001039	2.182909032	0.003838142
ENSSSCG00000002629	-1.310739558	0.004558208
ENSSSCG00000000500	1.293120037	0.083710176
ENSSSCG00000010411	-1.557031239	0.018699085
ENSSSCG00000006333	-2.665970855	0.000718606
ENSSSCG00000004091	1.584206638	0.057988369
ENSSSCG00000012377	-4.939229572	0.001346585
ENSSSCG00000000916	-2.337394369	0.000145206
ENSSSCG00000001571	-1.170808806	0.059670612
ENSSSCG00000010330	-2.121030015	0.048251877
ENSSSCG00000005378	1.982212836	0.097655609
ENSSSCG00000010445	10.94906512	0.001594576
ENSSSCG00000029598	-2.107082013	0.079957057
ENSSSCG00000009381	1.370136991	0.03076239
ENSSSCG00000021361	-1.82201812	0.030447716
ENSSSCG00000030487	1.341037513	0.01876521
ENSSSCG00000029203	1.257980572	0.006469949
ENSSSCG00000006643	-3.027002341	0.003583757
ENSSSCG00000010079	1.636790273	0.003388921
ENSSSCG00000010620	-1.82010617	0.000278275
ENSSSCG00000001022	2.579984906	0.002403743
ENSSSCG00000010042	1.745232966	0.058406504
ENSSSCG00000015868	-1.60833576	0.000190737
ENSSSCG00000001620	1.955537429	0.004620432
ENSSSCG00000009644	2.662856382	0.003229621
ENSSSCG00000010649	-4.305472295	0.004786214
ENSSSCG00000005643	1.75047522	0.000237224
ENSSSCG00000010118	-1.282934388	0.016212619
ENSSSCG00000006520	1.218936906	0.063197385
ENSSSCG00000010544	-1.482911667	0.048874874
ENSSSCG00000009865	-1.843298782	0.009529651
ENSSSCG00000004290	-2.240872767	0.004845794
ENSSSCG00000006088	-1.508224216	0.013467086
ENSSSCG00000009853	1.391975493	0.020066535
ENSSSCG00000002392	1.398318285	0.099792771
ENSSSCG00000015695	1.205466762	0.012526367
ENSSSCG00000004569	1.716054762	0.009216545
ENSSSCG00000021270	1.263120233	0.084976198
ENSSSCG00000005083	1.925598985	0.011978572
ENSSSCG00000005315	1.707241189	0.001954345
ENSSSCG00000009536	-1.173966467	0.047008856
ENSSSCG00000005052	-2.282036811	0.000250366
ENSSSCG00000010158	-1.570177649	0.003018982
ENSSSCG00000009988	-1.484100294	0.019966553
ENSSSCG00000005227	-1.323765571	0.026343814
ENSSSCG00000007019	4.460786914	1.91E-05
ENSSSCG00000001983	-1.604691376	0.054383768
ENSSSCG00000010011	1.459766622	0.013233659
ENSSSCG00000009975	-2.090554216	0.012039179
ENSSSCG00000007323	-1.46878751	0.001965822
ENSSSCG00000012253	-2.057593084	2.89E-05
ENSSSCG00000011798	2.622163495	0.001092881
ENSSSCG00000004064	1.20402893	0.087963464
ENSSSCG00000016094	-1.196629715	0.034554614
ENSSSCG00000004113	1.543016994	0.064222221
ENSSSCG00000000665	-2.976381089	0.007408481
ENSSSCG00000001725	1.589616773	0.003413824
ENSSSCG00000009509	-1.550012902	0.000426132
ENSSSCG00000010683	2.010376398	4.74E-05
ENSSSCG00000002627	-2.045894931	0.001574785
ENSSSCG00000006171	-6.673869596	5.52E-06
ENSSSCG00000006168	1.497967455	0.003591583
ENSSSCG00000012590	-2.244928401	0.016142519
ENSSSCG00000001970	1.380655031	0.001430851
ENSSSCG00000025744	1.464959087	0.011485623
ENSSSCG00000010306	1.430644881	0.002405535
ENSSSCG00000009585	2.484407889	0.005748514
ENSSSCG00000004908	3.298359834	0.000838549
ENSSSCG00000009896	23.75485666	4.95E-06
ENSSSCG00000001875	1.768953637	0.0015033
ENSSSCG00000016067	1.616222642	0.007287715
ENSSSCG00000010453	2.433885997	0.00112368
ENSSSCG00000007264	-1.211930523	0.064483468
ENSSSCG00000010189	-1.237091156	0.024550536
ENSSSCG00000010652	1.829601876	0.01267843
ENSSSCG00000006630	-1.336356469	0.004826171
ENSSSCG00000028759	1.592833436	0.001731935
ENSSSCG00000001667	-1.313095837	0.02252846
ENSSSCG00000001639	-1.702603879	0.011939148
ENSSSCG00000004661	-2.010838678	0.030524336
ENSSSCG00000004647	1.332577403	0.071454753
ENSSSCG00000009679	1.356039965	0.06900135
ENSSSCG00000007048	-1.661441621	9.61E-05
ENSSSCG00000000393	1.719135169	0.000223115
ENSSSCG00000000265	-5.104402332	0.00011539
ENSSSCG00000007423	-5.769071221	0.000203378
ENSSSCG00000006923	1.402258514	0.041348856
ENSSSCG00000004279	-1.614678948	0.080171429
ENSSSCG00000007381	-1.317302062	0.002646868
ENSSSCG00000010277	1.518941928	0.007299403
ENSSSCG00000009449	-1.300568418	0.018665809
ENSSSCG00000010529	2.814328569	0.005222503
ENSSSCG00000009849	1.167569942	0.045864021
ENSSSCG00000006003	1.563246624	0.009070296
ENSSSCG00000001820	-1.163944338	0.09837051
ENSSSCG00000001767	-2.177845783	0.001325767
ENSSSCG00000006784	1.386802545	0.061314919
ENSSSCG00000021375	-5.23337013	0.000753281
ENSSSCG00000023565	-1.171891258	0.051077151
ENSSSCG00000005065	1.217634808	0.092877472
ENSSSCG00000006767	-1.801675659	0.001520448
ENSSSCG00000011398	-1.306678452	0.07392104
ENSSSCG00000002005	-1.299893904	0.017297731
ENSSSCG00000005909	-1.457309465	0.004455314
ENSSSCG00000002431	-1.606407894	0.007459165
ENSSSCG00000006132	-2.419860775	0.003345141
ENSSSCG00000012459	-1.399175456	0.001217846
ENSSSCG00000001987	3.277168493	5.20E-05
ENSSSCG00000004942	-1.436041183	0.062320189
ENSSSCG00000006352	-11.72865613	0.041442783
ENSSSCG00000002427	-1.438434745	0.062302508
ENSSSCG00000009789	4.528091308	0.031484045
ENSSSCG00000016151	3.578159442	0.0037658
ENSSSCG00000004847	-1.354513958	0.089093338
ENSSSCG00000000683	-3.588928314	0.001885918
ENSSSCG00000005174	1.198317373	0.029583648
ENSSSCG00000001132	202.5171803	0.001654041
ENSSSCG00000001056	1.245178239	0.056880285
ENSSSCG00000006728	1.530449398	0.011878075
ENSSSCG00000004412	-1.514830564	0.017977041
ENSSSCG00000006650	2.185559488	0.00037487
ENSSSCG00000005996	1.311259363	0.009831607
ENSSSCG00000004757	1.749763142	0.000978437
ENSSSCG00000009497	-2.311885351	0.046014358
ENSSSCG00000021576	4.712248889	0.006294451
ENSSSCG00000005278	3.80724521	0.008211781
ENSSSCG00000001455	-1.353104113	0.016309719
ENSSSCG00000001456	-1.526080588	0.000278544
ENSSSCG00000016290	3.137989462	0.000203378
ENSSSCG00000004936	-1.213924605	0.02951988
