entrezgene	FC	pvalue
397239	3.737968329	0.012114844
100523962	1.877643135	0.000200513
100524254	-1.201390429	0.052669253
397687	2.121964954	0.005759356
100155420	-1.426235589	0.001286279
100154200	-1.492202652	0.000286301
100151790	-2.595503302	0.002630379
100157033	-1.2944746	0.045542151
100516266	1.230992993	0.058882876
100170844	-1.249001854	0.014547828
100155438	1.335707569	0.073988688
100518907	1.220459199	0.07808753
100144302	1.621450212	0.042932149
100520132	1.640564626	0.091652604
100521622	-1.509590547	0.000804562
100514523	5.52923809	2.74E-05
100523244	-1.267874405	0.043255063
100157699	1.452412779	0.004884001
100515261	1.82574744	0.009529651
100158107	-1.80579214	0.001255915
100737214	-1.279163727	0.041009421
100154036	-1.289184449	0.099567109
100515608	-1.617883185	0.000185887
100152055	-2.375275348	0.000558564
100157265	-21.95775039	0.0054793
100512835	-1.608388653	0.001820778
100513010	-1.53661437	0.024415962
100525107	-2.487699532	0.009412496
100525991	1.75821841	0.008908829
100127131	5.596616011	0.000129992
100516908	-1.851189616	0.000581284
100517651	-2.550857628	0.000280332
102164968	2.928339453	0.000605058
110260665	2.928339453	0.000605058
100737483	2.928339453	0.000605058
100511564	2.928339453	0.000605058
100515377	-1.706259232	0.008931902
100514838	1.620017579	0.001221922
100157167	1.292467389	0.036790715
100153121	-5.104402332	0.00011539
100516439	-1.459194303	0.003489018
100154297	-1.891822913	0.032189572
396575	1.679255566	0.002075938
100517160	1.309922337	0.005598465
397665	-1.560302937	0.00240295
100517714	-1.450593687	0.044813816
100518071	-1.304497588	0.014770415
100518609	1.689467421	0.018694488
768103	-2.350492168	1.09E-06
100156765	1.573795311	0.000286301
100736804	-2.016060027	0.004916711
100155091	-1.183150847	0.067388335
100517399	-1.256553895	0.046997328
397254	-1.909197775	0.00128336
100517942	-1.359928453	0.024133455
100157122	1.258054379	0.015737782
100151876	-1.218700526	0.037633673
100518427	-2.185926601	0.002410036
397097	1.74739323	0.000366651
100154715	-1.499998314	0.011404166
100037997	-1.55283696	0.000528961
100153107	1.719135169	0.000223115
100151912	1.525323578	0.011876408
396923	1.684429253	0.00011138
445462	-5.065550734	0.000195868
100626199	8.380008985	0.000186737
100511633	8.380008985	0.000186737
100512656	8.380008985	0.000186737
100158241	2.399366422	0.012352716
100524085	1.750404187	0.000426332
100154568	1.518397768	0.003160279
100516909	-1.399081667	0.003713011
100157211	-2.661612648	0.006097862
100157776	-1.738353895	0.000166391
100152578	1.293120037	0.083710176
100519775	1.76539771	0.00018152
100157246	1.340664514	0.005809029
100523904	-2.630890637	0.001231171
100524086	-2.34283043	5.68E-06
100512051	1.280253411	0.021572191
100512348	-1.93549842	0.020078323
100516012	4.250698906	0.031093102
100155076	-1.406028614	0.004524621
100151839	4.917915743	0.000551798
100154676	1.596868221	0.030824445
100523844	-1.403757819	0.030108397
100153841	-1.207652322	0.03978689
100739009	-1.217304306	0.005752177
100513013	-1.24263452	0.078748231
100514349	2.992435136	0.000473189
100518306	-1.926019336	9.25E-05
100462751	3.263252777	0.001408055
397165	2.310199645	0.005850125
100521013	1.380512	0.009073234
100155344	-2.037748492	2.61E-05
100152915	-2.976381089	0.007408481
100511695	-4.046930865	0.000226868
100153312	-3.588928314	0.001885918
100157582	-1.191153761	0.035895552
102164405	-1.35792736	0.026644566
100516080	-1.490948216	0.040760957
100520908	1.805460921	0.000354842
100520196	1.361272494	0.001593086
396608	1.923991699	0.057153614
397020	1.660441948	0.0003434
100520565	2.11504058	0.001532226
100157339	-3.077597128	0.001374078
100152085	2.082938859	0.008389842
100511381	-1.618218418	0.093991182
100511565	-3.415929857	0.000450233
100512166	1.54196225	0.003345141
100513988	2.108538146	0.026153596
404694	1.506289914	0.001092881
100514647	1.904037114	0.040185226
396777	1.913987254	0.016603513
100519777	1.585177887	0.033545898
780403	-1.290904104	0.081902698
100521555	-6.819152137	0.000159596
100522617	1.214447937	0.050433491
100523377	1.736282972	0.001113519
100127166	1.601090955	0.034776348
100152349	2.286067681	4.45E-05
100190991	-1.261809507	0.031014195
100513860	-1.388806708	0.000745632
396681	1.542782272	0.019855233
100157587	-1.3651094	0.002611463
100524087	-1.215263868	0.064416564
595113	1.718027526	0.001437887
100154381	-2.521168061	0.013397004
100302698	-1.407814009	0.000242134
100154219	-1.67427991	0.000268674
100154617	32.15780553	0.014923824
100155855	-1.816925731	0.000142981
100516554	1.824600231	0.011286556
100517653	-1.225522866	0.097792231
100518016	-1.49480836	0.000379458
100518487	2.256627187	0.027740926
396957	-1.540455891	0.02951988
100152607	-2.337394369	0.000145206
100157843	-2.165814418	0.019146489
100155832	-1.489529049	0.004455314
100512104	3.442651327	2.06E-05
100512658	-1.99144371	0.030295117
100154851	-5.375698049	0.001437887
100153630	-3.171216597	5.03E-05
100625790	-1.396550945	0.062649844
100518017	1.177487166	0.051696088
100519315	4.322941059	0.000144078
100520846	1.285887868	0.00306394
100134957	1.421361156	0.00449208
100155921	-1.201346866	0.029691937
100152689	2.579984906	0.002403743
100152326	-1.905722832	0.000265578
100156744	-1.905722832	0.000265578
100157111	1.941738265	0.000742266
100049668	1.693278757	0.005228733
100517166	1.25812361	0.081013154
100155821	1.272116343	0.009629872
100524569	1.210208987	0.081108672
100155795	-2.50204176	0.008021074
100623695	2.496529348	0.002786437
100154793	1.564924423	0.031014195
100156871	-1.210907359	0.04239575
100155665	-1.495552694	0.033545898
100152017	1.578754571	0.063687131
100157860	1.499666436	0.037669204
768111	-2.122358478	0.097312891
100626604	6.395201646	0.000115568
100626139	202.5171803	0.001654041
100270748	1.428662483	0.07687495
100523617	-1.156314646	0.095554942
100135031	1.544147109	0.048114007
100037293	1.544147109	0.048114007
100513601	1.544147109	0.048114007
100037288	1.544147109	0.048114007
100151742	1.394432738	0.003486275
100144450	1.287918833	0.062261696
100144453	-1.244598539	0.023989772
733686	-1.692341295	0.009245828
100144462	2.063429634	0.005759356
100152381	-4.67827704	0.000183758
100137083	-1.332878182	0.005457876
100153950	-1.19145488	0.020984305
100156389	1.397392626	0.021814461
100124381	1.77525004	5.99E-05
100124377	-3.91775533	0.000504489
100124382	-1.779505971	0.000137041
100124380	-4.82154421	0.000110243
445467	5.726367512	1.23E-05
100154784	-1.313285615	0.093153761
613128	1.479243406	0.0121033
396591	3.814797989	0.023186738
100144533	-1.426058245	0.044523924
100144522	1.251479289	0.074013655
100135040	-1.337127534	0.001590023
106504372	-1.353104113	0.016309719
100153386	-1.353104113	0.016309719
100037921	-1.341050131	0.037211152
100135050	-1.209640764	0.062327873
100141307	1.200261548	0.045290991
100520915	-7.57196213	0.035580001
100155600	2.579258333	1.54E-05
100154372	-1.571162561	0.009823831
100522018	2.055831532	0.001650203
100153820	-2.18873924	0.014157068
396980	-1.557847573	0.000103161
100151794	-1.639007202	0.000103354
100153414	1.251466779	0.02178849
100155015	1.377796008	0.030043879
100511389	1.228989917	0.031720266
100155444	-1.218024102	0.013263539
100151814	1.154659984	0.09281963
100625697	1.310816276	0.062416893
397297	1.548408471	0.002897855
100037993	-1.421193726	0.000302718
654299	1.580748863	0.050730887
100155423	1.674129245	0.043703468
100156630	1.562599108	0.019185788
100156210	3.011752748	0.002862206
100739153	-1.431782842	0.004132309
100155010	2.996444001	0.009196689
100152609	-1.170808806	0.059670612
100524814	-1.395745489	0.094933242
100157844	3.657022827	0.023494234
100154835	3.900157127	0.002746343
100152701	1.955537429	0.004620432
100157940	-1.705340108	0.004916711
100153876	-1.674185414	0.062020758
100153071	-1.702603879	0.011939148
100522688	1.651604784	0.010918529
100126290	1.801529999	0.000205701
100134967	-1.500079278	0.000751936
100157157	-1.340664322	0.008926181
100153873	-2.905193884	0.000186442
100153069	-1.313095837	0.02252846
100145892	-2.953588248	0.093897621
100157118	-1.985573285	0.000968956
100151872	-2.56775838	0.000197047
396631	1.95236351	0.005228733
396742	-3.504519055	9.81E-07
100153486	1.737084715	0.015393098
100153900	-1.213620023	0.035799121
100113410	1.432068991	0.095579462
100157774	1.545580073	0.059280604
396593	-1.601357264	0.036605715
100158176	112.289932	0.00111768
100155220	1.425695409	0.053401918
100154398	-1.70962971	0.001099595
396969	1.44759795	0.041202877
100156420	78.18958781	0.000139688
100523317	2.160870343	0.019933877
100156419	-3.595096271	0.000265435
100514527	1.477306619	0.020823612
100156882	1.928365555	0.001681925
100155631	-2.300257476	1.91E-05
