"ensembl_gene_id" "FC" "pvalue" "entrezgene" "external_gene_name"
"ENSSSCG00000000002" -4.992506472 2.74e-05 100520739 "GTSE1"
"ENSSSCG00000000006" 3.737968329 0.012114844 397239 "PPARA"
"ENSSSCG00000000037" 1.877643135 0.000200513 100523962 "ARFGAP3"
"ENSSSCG00000000038" -1.201390429 0.052669253 100524254 "CYB5R3"
"ENSSSCG00000000046" 2.121964954 0.005759356 397687 "CYP2D25"
"ENSSSCG00000000058" -1.426235589 0.001286279 100155420 "SNU13"
"ENSSSCG00000000059" -1.492202652 0.000286301 100154200 "XRCC6"
"ENSSSCG00000000061" -2.595503302 0.002630379 100151790 "PMM1"
"ENSSSCG00000000063" -1.2944746 0.045542151 100157033 "POLR3H"
"ENSSSCG00000000076" 1.230992993 0.058882876 100516266 "SGSM3"
"ENSSSCG00000000077" -1.249001854 0.014547828 100170844 "ADSL"
"ENSSSCG00000000079" 1.335707569 0.073988688 100155438 "FAM83F"
"ENSSSCG00000000083" 1.220459199 0.07808753 100518907 "RPS19BP1"
"ENSSSCG00000000084" 1.621450212 0.042932149 100144302 "ATF4"
"ENSSSCG00000000089" -1.442142939 0.000196166 NA ""
"ENSSSCG00000000090" 1.640564626 0.091652604 100520132 "CBX7"
"ENSSSCG00000000094" -1.509590547 0.000804562 100521622 "SUN2"
"ENSSSCG00000000097" -1.180192645 0.049668589 100520786 ""
"ENSSSCG00000000105" 5.52923809 2.74e-05 100514523 "KDELR3"
"ENSSSCG00000000107" -1.267874405 0.043255063 100523244 ""
"ENSSSCG00000000108" 1.452412779 0.004884001 100157699 "TMEM184B"
"ENSSSCG00000000111" 1.82574744 0.009529651 100515261 "BAIAP2L2"
"ENSSSCG00000000114" -1.80579214 0.001255915 100158107 "PICK1"
"ENSSSCG00000000116" -1.279163727 0.041009421 100737214 "POLR2F"
"ENSSSCG00000000118" -1.289184449 0.099567109 100154036 "MICALL1"
"ENSSSCG00000000119" -1.617883185 0.000185887 100515608 "EIF3L"
"ENSSSCG00000000137" -2.375275348 0.000558564 100152055 "NCF4"
"ENSSSCG00000000138" -21.95775039 0.0054793 100157265 "PVALB"
"ENSSSCG00000000141" -1.608388653 0.001820778 100512835 "EIF3D"
"ENSSSCG00000000142" -1.53661437 0.024415962 100513010 "FOXRED2"
"ENSSSCG00000000179" -2.487699532 0.009412496 100525107 "CCDC65"
"ENSSSCG00000000180" 1.705468839 0.049419008 100524935 "FKBP11"
"ENSSSCG00000000189" 1.75821841 0.008908829 100525991 "LMBR1L"
"ENSSSCG00000000194" 5.596616011 0.000129992 100127131 ""
"ENSSSCG00000000209" -1.851189616 0.000581284 100516908 "NCKAP5L"
"ENSSSCG00000000217" -2.550857628 0.000280332 100517651 "RACGAP1"
"ENSSSCG00000000245" 13.61906702 0.000827307 NA ""
"ENSSSCG00000000248" 2.928339453 0.000605058 100511564 ""
"ENSSSCG00000000248" 2.928339453 0.000605058 102164968 ""
"ENSSSCG00000000258" -2.069207017 0.009551169 NA "RARG"
"ENSSSCG00000000259" -1.706259232 0.008931902 100515377 "CSAD"
"ENSSSCG00000000262" 1.620017579 0.001221922 100514838 "SPRYD3"
"ENSSSCG00000000264" 1.292467389 0.036790715 100157167 "MFSD5"
"ENSSSCG00000000265" -5.104402332 0.00011539 100153121 "ESPL1"
"ENSSSCG00000000267" -1.459194303 0.003489018 100516439 "C12orf10"
"ENSSSCG00000000271" -1.891822913 0.032189572 100154297 "AMHR2"
"ENSSSCG00000000272" 1.679255566 0.002075938 396575 "SP1"
"ENSSSCG00000000273" 1.309922337 0.005598465 100517160 ""
"ENSSSCG00000000274" -1.560302937 0.00240295 397665 ""
"ENSSSCG00000000275" -1.450593687 0.044813816 100517714 "MAP3K12"
"ENSSSCG00000000276" -1.304497588 0.014770415 100518071 "TARBP2"
"ENSSSCG00000000278" 1.689467421 0.018694488 100518609 ""
"ENSSSCG00000000288" -2.350492168 1.09e-06 768103 "HNRNPA1"
"ENSSSCG00000000290" 1.573795311 0.000286301 100156765 "COPZ1"
"ENSSSCG00000000292" -2.016060027 0.004916711 100736804 "ZNF385A"
"ENSSSCG00000000293" -1.183150847 0.067388335 100155091 "ITGA5"
"ENSSSCG00000000359" -1.256553895 0.046997328 100517399 ""
"ENSSSCG00000000363" -1.909197775 0.00128336 397254 "GDF11"
"ENSSSCG00000000364" -1.359928453 0.024133455 100517942 "SARNP"
"ENSSSCG00000000365" 1.258054379 0.015737782 100157122 ""
"ENSSSCG00000000366" -1.218700526 0.037633673 100151876 "DNAJC14"
"ENSSSCG00000000368" -2.185926601 0.002410036 100518427 "MMP19"
"ENSSSCG00000000370" 1.74739323 0.000366651 397097 "DGKA"
"ENSSSCG00000000373" -1.499998314 0.011404166 100154715 "CDK2"
"ENSSSCG00000000374" -1.55283696 0.000528961 100037997 "RPS26"
"ENSSSCG00000000393" 1.719135169 0.000223115 100153107 "PAN2"
"ENSSSCG00000000394" 1.525323578 0.011876408 100151912 "CNPY2"
"ENSSSCG00000000396" 1.684429253 0.00011138 396923 "STAT2"
"ENSSSCG00000000398" -5.065550734 0.000195868 445462 "APOF"
"ENSSSCG00000000399" -2.426856304 0.003714754 NA "TIMELESS"
"ENSSSCG00000000419" 8.380008985 0.000186737 100511633 "RDH16"
"ENSSSCG00000000419" 8.380008985 0.000186737 100512656 "RDH16"
"ENSSSCG00000000456" 2.399366422 0.012352716 100158241 "SLC16A7"
"ENSSSCG00000000457" 1.750404187 0.000426332 100524085 "USP15"
"ENSSSCG00000000458" 1.518397768 0.003160279 100154568 "MON2"
"ENSSSCG00000000486" -1.399081667 0.003713011 100516909 "NUP107"
"ENSSSCG00000000492" -2.661612648 0.006097862 100157211 "LYZ"
"ENSSSCG00000000496" -1.738353895 0.000166391 100157776 "CCT2"
"ENSSSCG00000000500" 1.293120037 0.083710176 100152578 ""
"ENSSSCG00000000510" 1.76539771 0.00018152 100519775 "TMEM19"
"ENSSSCG00000000512" 1.340664514 0.005809029 100157246 "TBC1D15"
"ENSSSCG00000000521" -2.630890637 0.001231171 100523904 "PHLDA1"
"ENSSSCG00000000522" -2.34283043 5.68e-06 100524086 "NAP1L1"
"ENSSSCG00000000536" 1.280253411 0.021572191 100512051 "ERGIC2"
"ENSSSCG00000000541" -1.93549842 0.020078323 100512348 "FAR2"
"ENSSSCG00000000546" 4.250698906 0.031093102 100516012 "MANSC4"
"ENSSSCG00000000547" -1.317679682 0.029893341 100514049 "MRPS35"
"ENSSSCG00000000552" -1.406028614 0.004524621 100155076 "MED21"
