ensembl_gene_id	external_gene_name	entrezgene	FC	pvalue	
ENSG00000204252	HLA-DOA	3111	-0.535	0.000	
ENSG00000239457	HLA-DOB	3112	-0.017	0.955	
ENSG00000168384	HLA-DPA1	3113	-0.491	0.025	
ENSG00000206239 	HLA-DQA1	3117	-0.846	0.000	
ENSG00000206237	HLA-DQB1 	3119	-0.467	0.007	
ENSG00000204592	HLA-E	3133	0.298	0.014	
ENSG00000137403	HLA-F	3134	0.749	0.000	
ENSG00000137936	BCAR	9564	-1.132	0.000	
ENSG00000010810	FYN	2534	0.486	0.001	
ENSG00000246981	ITPR3	3710	-0.097	0.726	
ENSG00000164104	HMGB2	3148	0.827	0.000	
ENSG00000136634	IL10	3586	-1.185	0.000	
ENSG00000173503	LTA	4049	0.317	0.186	
ENSG00000179295	PTPN11	5781	-0.502	0.148	
ENSG00000197081	IGF2R	3482	0.035	0.943	
ENSG00000213676	ATF6	1388	-0.760	0.001	
ENSG00000134460	IL2RA	3559	-0.142	0.727	
ENSG00000163599	CTLA4	1493	0.356	0.165	
ENSG00000132589	FLOT2	2319	0.082	0.732	
ENSG00000186350	RXRA	6256	-0.122	0.745	
ENSG00000168452	PPT2	9374	-0.138	0.699	
ENSG00000138678	AGPAT	10554	-2.325	0.000	
ENSG00000204388	HSPA1B	3304	-0.989	0.000	
ENSG00000150637	CD226	10666	-1.218	0.001	
ENSG00000138378	STAT4	6775	0.176	0.115	
ENSG00000175354	PTPN2	5771	0.683	0.001	
Hs.118681	ERBB3	2065	-0.282	0.092	
ENSG00000140379	BCL2A1	597	-1.689	0.000	
ENSG00000167797	CDK2	1017	1.588	0.000	
ENSG00000183574	RNF5	6048	0.335	0.011	
