external_gene_name	entrezgene	ensembl_gene_id
ADAD1	132612	ENSG00000164113
ASCL2	430	ENSG00000183734
ATF7IP	55729	ENSG00000171681
BAK1	578	ENSG00000030110
BCAR1	9564	ENSG00000050820
BCL2A1	597	ENSG00000140379
BRAP	8315	ENSG00000089234
BTN3A3	10384	ENSG00000111801
C6orf227	401253	ENSG00000197251
CABP1	9478	ENSG00000157782
CCDC101	112869	ENSG00000176476
CDK2	1017	ENSG00000123374
CEACAM7	1087	ENSG00000007306
CRYZL1	9946	ENSG00000205758 
DEXI	28955	ENSG00000182108
ETF1P1	6824	not_available
FAM46B	115572	ENSG00000158246
FAP	2191	ENSG00000078098
FUT2	2524	ENSG00000176920
FYN	2534	ENSG00000010810
GCA	25801	ENSG00000115271
GGNBP1	449520	ENSG00000204188
GNL1	2794	ENSG00000204590
GNS	2799	ENSG00000135677
GP2	2813	ENSG00000169347
GPR89P	394254	not_available
GUSBL1	387036	ENSG00000241549
HCG2P8	353012	not_available
HCG4P3	353001	not_available
HCG4P4	353002	not_available
HCG4P9	353014	not_available
HCGVIII-2	353000	not_available
HCP5P2	373158	not_available
HIPK1	204851	ENSG00000163349
HIST1H1A	3024	ENSG00000124610
HIST1H1T	3010	ENSG00000187475
HIST1H2BD	3017	ENSG00000158373
HIST1H2BF	8343	ENSG00000277224
HIST1H3H	8357	ENSG00000278828
HIST1H4E	8367	ENSG00000276966
HIST1H4F	8361	ENSG00000274618
HIST1H4G	8369	ENSG00000275663
HIST1H4PS1	10337	not_available
HLA-J	3137	ENSG00000204622
HMGB1	3146	ENSG00000189403
HORMAD2	150280	ENSG00000176635
IKZF1	10320	ENSG00000185811
IKZF3	22806	ENSG00000161405
IL10	3586	ENSG00000136634
ITPR3	3710	ENSG00000096433
KIAA0528	9847	ENSG00000111731
KIFC1	3833	ENSG00000237649
KRT222	125113	ENSG00000213424
LHX9	56956	ENSG00000143355
LOC100127934	100127934	not_available
LOC100128077	100128077	not_available
LOC100128588	100128588	not_available
LOC100129387	100129387	not_available
LOC100130535	100130535	not_available
LOC100133214	100133214	not_available
LOC100270746	100270746	not_available
LOC100288130	100288130	not_available
LOC100506705	100506705	not_available
LOC100506979	100506979	not_available
LOC100507085	100507085	not_available
LOC144481	144481	ENSG00000246985
LOC284749	284749	not_available
LOC340192	340192	not_available
LOC402641	402641	not_available
LYPLA2P1	653639	not_available
MADCAM1	8174	ENSG00000099866
MAMSTR	284358	ENSG00000176909
MICA	100507436	ENSG00000204520
MICG	352967	not_available
MIR548H3	100302287	ENSG00000221698
MIR600	693185	ENSG00000283941
MPZL3	196264	ENSG00000160588
MYL2	4633	ENSG00000111245
NCAPD2	9918	ENSG00000010292
NSL1	25936	ENSG00000117697
NUPR1	26471	ENSG00000176046
OLFML3	56944	ENSG00000116774
OR12D1P	26530	ENSG00000251608
OR2B3	442184	ENSG00000204703
OR2B6	26212	ENSG00000124657
OR2E1P	26719	not_available
OR2J2	26707	ENSG00000204700
OR2U1P	26695	not_available
OR2W6P	81406	not_available
OR5V1	81696	ENSG00000243729
ORMDL3	94103	ENSG00000172057
PHF1	5252	ENSG00000112511
PLBD1	79887	ENSG00000121316
PLEKHA1	59338	ENSG00000107679
PPP1R10	5514	ENSG00000204569
PPP1R11	6992	ENSG00000204619
PRR3	80742	ENSG00000204576
PRSS16	10279	ENSG00000112812
PTPN11	5781	ENSG00000179295
RASIP1	54922	ENSG00000105538
RING1	6015	ENSG00000204227
RPLP2P1	442175	not_available
RPS10P1	394255	not_available
RSPH1	89765	ENSG00000160188
RXRB	6257	ENSG00000204231
SBK1	388228	ENSG00000188322
SCGN	10590	ENSG00000079689
SLC17A1	6568	ENSG00000124568
SLC17A2	10246	ENSG00000112337
SLC17A3	10786	ENSG00000124564
SLC17A4	10050	ENSG00000146039
SMAD7	4092	ENSG00000101665
SPRR2E	6704	ENSG00000203785
STAT4	6775	ENSG00000138378
STRN4	29888	ENSG00000090372
SULT1A1	6817	ENSG00000196502
SUMO2P	285829	not_available
TAPBPL	55080	ENSG00000139192
TMEM129	92305	ENSG00000168936
TMEM170A	124491	ENSG00000166822
TRAJ57	28698	not_available
TRAJ58	28697	not_available
TRDD1	28525	not_available
TRDD2	28524	not_available
TRIM26	7726	ENSG00000234127
TRIM27	5987	ENSG00000204713
TRMEP1	7211	not_available
TRNAA12	100189092	not_available
TRNAA19	100189149	not_available
TRNAA38	100189395	not_available
TRNAA40	100189400	not_available
TRNAA41	100189411	not_available
TRNAA5	100189033	not_available
TRNAF3	100189137	not_available
TRNAH3	100188987	not_available
TRNAI1	7202	not_available
TRNAI2	100189028	not_available
TRNAK43P	100189539	not_available
TRNAK8	100189053	not_available
TRNAL12	100189118	not_available
TRNAL47P	7209	not_available
TRNAM15	100189297	not_available
TRNAM16	100189303	not_available
TRNAM4	100189040	not_available
TRNAM8	100189111	not_available
TRNAR10	100189099	not_available
TRNAS7	100189041	not_available
TRNAT11	100189258	not_available
TRNAT16	100189344	not_available
TRNAT7	100189143	not_available
TRNAV15	100189101	not_available
TRNAV27	100189363	not_available
TRNAV7	791230	not_available
TRNAW2	100189048	not_available
TRNAY7	100189162	not_available
TRNAY8	100189219	not_available
UBD	10537	ENSG00000213886
VN1R14P	387320	not_available
VPS52	6293	ENSG00000223501
ZBTB9	221504	ENSG00000213588
ZNF192	7745	ENSG00000198315 
ZNF274	10782	ENSG00000171606
ZNF322A	79692	ENSG00000181315
ZNF323	64288	ENSG00000235109
ZPBP2	124626	ENSG00000186075
ZZEF1	23140	ENSG00000074755
